Time,X,Y,Z
1534367572.90001201629638671875,4699709.49622569419443607330322,-9321418.40280119888484477996826,221.2666473388671875
1534367573.40000391006469726562,4699709.3734726384282112121582,-9321418.22298291511833667755127,221.6091461181640625
1534367573.90020799636840820312,4699709.45829406753182411193848,-9321418.27089794166386127471924,221.4370880126953125
1534367574.40000295639038085938,4699709.45936091989278793334961,-9321418.16914369724690914154053,221.449462890625
1534367574.90000295639038085938,4699709.54239106923341751098633,-9321418.1553574129939079284668,221.2090606689453125
1534367575.40000510215759277344,4699709.61852419190108776092529,-9321418.14268667437136173248291,221.16827392578125
1534367575.90022993087768554688,4699709.59770669043064117431641,-9321418.04267216846346855163574,221.1670989990234375
1534367576.40000796318054199219,4699709.59128799848258495330811,-9321417.93277033790946006774902,221.1997833251953125
1534367576.90000295639038085938,4699709.73445240128785371780396,-9321417.89850980415940284729004,221.020172119140625
1534367577.40000391006469726562,4699709.74851373024284839630127,-9321417.78661368228495121002197,221.0597686767578125
1534367577.900238037109375,4699709.83066799398511648178101,-9321417.72466051764786243438721,221.1037445068359375
1534367578.40000796318054199219,4699709.8344330396503210067749,-9321417.49936390854418277740479,221.0875396728515625
1534367578.90000391006469726562,4699709.67936996091157197952271,-9321417.19427865929901599884033,221.40380859375
1534367579.40000391006469726562,4699709.5609061196446418762207,-9321416.94678867608308792114258,221.38250732421875
1534367579.90002202987670898438,4699709.46402451209723949432373,-9321416.70002208463847637176514,221.5279083251953125
1534367580.40002608299255371094,4699709.33862529322504997253418,-9321416.38314179889857769012451,221.6267242431640625
1534367580.90000295639038085938,4699709.19198462460190057754517,-9321416.02864099107682704925537,221.7303466796875
1534367581.40000391006469726562,4699708.95745743624866008758545,-9321416.37285109050571918487549,221.159423828125
1534367581.90004801750183105469,4699708.73190946318209171295166,-9321416.29803215339779853820801,220.782470703125
1534367582.40004491806030273438,4699708.51958217099308967590332,-9321416.26604363508522510528564,220.5422210693359375
1534367582.90000391006469726562,4699708.29378450848162174224854,-9321416.22543245740234851837158,220.3172607421875
1534367583.40000391006469726562,4699708.0791913075372576713562,-9321416.18611885048449039459229,220.2942352294921875
1534367583.90001797676086425781,4699707.81273597199469804763794,-9321416.15270848572254180908203,220.2214508056640625
1534367584.40006899833679199219,4699707.48965317662805318832397,-9321416.14918823540210723876953,220.1103363037109375
1534367584.90000391006469726562,4699707.14359652064740657806396,-9321416.17571790143847465515137,219.9979248046875
1534367585.40000295639038085938,4699706.8000026401132345199585,-9321416.25440859608352184295654,219.8934783935546875
1534367585.900012969970703125,4699706.47353592887520790100098,-9321416.39908249303698539733887,219.786041259765625
1534367586.40008497238159179688,4699706.14950080588459968566895,-9321416.58276449888944625854492,219.6836395263671875
1534367586.90000200271606445312,4699705.83436449803411960601807,-9321416.7896489705890417098999,219.591064453125
